Regional,Bairro,PopulacaoTotal,PopHomens,PopMulheres,MédiaDeMoradoresPorDomicílio,RazaoDeDependência
REGIONAL 4,Dende,5637,2815,2822,3.29,38.09
REGIONAL 6,Dias Macêdo,12111,5747,6364,3.46,40.76
REGIONAL 2,Dionisio Torres,15634,6624,9010,3.22,34.27
REGIONAL 3,Dom Lustosa,13147,6109,7038,3.43,41.53
REGIONAL 6,Edson Queiroz,22210,10586,11624,3.76,33.75
REGIONAL 1,Farias Brito,12063,5400,6663,3.33,37.22
REGIONAL 4,Fatima,23309,10091,13218,3.19,31.68
REGIONAL 1,Floresta,28896,13677,15219,3.49,46.04
REGIONAL 5,Genibau,40336,19531,20805,3.55,45.72
REGIONAL 5,Granja Lisboa,52042,25360,26682,3.61,47.26
REGIONAL 5,Granja Portugal,39651,19172,20479,3.67,50.23
REGIONAL 6,Guajeru,6668,3085,3583,3.59,38.37
REGIONAL 2,Guararapes,5266,2359,2907,3.41,32.34
REGIONAL 3,Henrique Jorge,26994,12606,14388,3.45,40.41
REGIONAL 4,Itaoca,12477,5602,6875,3.34,38.97
REGIONAL 4,Itaperi,22563,10487,12076,3.2,35.78
REGIONAL 1,Jacarecanga,14204,6472,7732,3.34,42.81
REGIONAL 6,Jangurussu,50479,24217,26262,3.54,42.19
REGIONAL 4,Jardim America,12264,5455,6809,3.38,39.27
REGIONAL 5,Jardim Cearense,10103,4771,5332,3.46,36.82
REGIONAL 6,Jardim das Oliveiras,29571,14024,15547,3.56,43.43
REGIONAL 1,Jardim Guanabara,14919,6937,7982,3.48,41.14
REGIONAL 1,Jardim Iracema,23184,10968,12216,3.52,42.27
REGIONAL 3,Joao XXIII,18398,8661,9737,3.5,41.69
REGIONAL 2,Joaquim Tavora,23450,10107,13343,3.15,35.68
REGIONAL 3,Joquei Clube,19331,8867,10464,3.4,37.52
REGIONAL 4,Jose Bonifacio,8848,3842,5006,3.11,37.16
REGIONAL 6,Jose de Alencar,16003,7652,8351,3.5,37.49
REGIONAL 6,Lagoa Redonda,27949,13356,14593,3.5,43.83
REGIONAL 2,Eng Luciano Cavalcante,15543,7143,8400,3.46,38.12
REGIONAL 5,Manoel Satiro,37952,17707,20245,3.41,38.74
REGIONAL 2,Manuel Dias Branco,1447,679,768,3.27,40.49
REGIONAL 5,Maraponga,10155,4720,5435,3.31,37.17
REGIONAL 2,Meireles,36982,16171,20811,2.91,33.60
REGIONAL 6,Messejana,41689,19277,22412,3.41,38.02
REGIONAL 5,Mondubim,76044,36555,39489,3.44,42.97
REGIONAL 1,Monte Castelo,13215,6118,7097,3.44,39.28
REGIONAL 4,Montese,25970,11524,14446,3.26,38.59
REGIONAL 2,Mucuripe,13747,6239,7508,3.09,36.19
REGIONAL 5,Novo Mondubim*,-,-,-,-,-
REGIONAL 3,Olavo Oliveira*,-,-,-,-,-
REGIONAL 3,Padre Andrade,12936,5912,7024,3.41,40.14
REGIONAL 4,Pan Americano,8815,4065,4750,3.41,41.27
REGIONAL 2,Papicu,18370,8584,9786,3.3,37.15
REGIONAL 4,Parangaba,30947,14271,16676,3.33,36.61
REGIONAL 3,Parque Araxa,6715,2919,3796,3.33,38.83
REGIONAL 6,Parque Dois Irmaos,27236,13072,14164,3.64,41.27
REGIONAL 6,Parque Iracema,8409,3875,4534,3.07,35.35
REGIONAL 6,Parque Manibura,7529,3472,4057,3.69,34.66
REGIONAL 5,Parque Presidente Vargas,7192,3560,3632,3.69,51.57
REGIONAL 6,Parque Santa Maria*,-,-,-,-,-
REGIONAL 5,Parque Santa Rosa,12790,6106,6684,3.43,42.21
REGIONAL 5,Parque Sao Jose,10486,5007,5479,3.47,45.22
REGIONAL 3,Parquelândia,14432,6283,8149,3.22,36.61
REGIONAL 4,Parreao,11072,4977,6095,3.43,39.80
REGIONAL 6,Passare,50940,24541,26399,3.38,42.92
REGIONAL 6,Paupina,14665,7042,7623,3.46,41.55
REGIONAL 6,Pedras,1342,670,672,3.63,46.99
REGIONAL 3,Pici,42494,20330,22164,3.58,43.00
REGIONAL 1,Pirambu,17775,8430,9345,3.65,49.62
REGIONAL 5,Planalto Ayrton Senna,39446,19277,20169,3.56,46.83
REGIONAL 2,Praia de Iracema,3130,1437,1693,2.87,34.28
REGIONAL 2,Praia do Futuro I,6630,3224,3406,3.42,49.86
REGIONAL 2,Praia do Futuro II,11957,5879,6078,3.46,48.74
REGIONAL 5,Prefeito Jose Valter,33427,15401,18026,3.42,43.27
REGIONAL 3,Presidente Kennedy,23004,10327,12677,3.43,37.83
REGIONAL 3,Quintino Cunha,47277,22471,24806,3.58,42.43
REGIONAL 3,Rodolfo Teofilo,19114,8575,10539,3.36,38.45
REGIONAL 6,Sabiaguaba,2117,1043,1074,3.59,43.23
REGIONAL 2,Salinas,4298,2014,2284,3.51,38.91
REGIONAL 6,Sao Bento,11964,5771,6193,3.36,46.71
REGIONAL 1,Sao Gerardo,14505,6376,8129,3.27,34.87
REGIONAL 2,Sao Joao do Tauape,27598,12498,15100,3.32,39.31
REGIONAL 6,Sapiranga Coite,32158,15278,16880,3.73,43.25
REGIONAL 4,Serrinha,28770,13823,14947,3.47,40.88
REGIONAL 5,Siqueira,33628,16373,17255,3.63,51.59
REGIONAL 2,Varjota,8421,3645,4776,3.01,32.07
REGIONAL 1,Vila Ellery,7863,3544,4319,3.43,39.41
REGIONAL 4,Vila Pery,20645,9517,11128,3.38,38.50
REGIONAL 4,Vila Uniao,15378,7090,8288,3.38,39.63
REGIONAL 1,Vila Velha,61617,29108,32509,3.55,43.99
REGIONAL 2,Vicente Pinzon,45518,21766,23752,3.55,42.98
